stock_id,start_date,end_date,duration_weeks,period_start_price,period_end_price,period_min_price,period_max_price,min_price_idx,max_price_idx,min_price_ratio,max_price_ratio,end_price_ratio,price_volatility,price_trend,min_price_timing,closes,highs,lows,dates,return_20w,is_profitable_20w
000596.SZ,20221028,20221216,8,189.03351314,257.10511816,181.95015816,264.89305089000004,1,7,-0.037471424311698615,0.40130205744955794,0.3601033694463772,0.4387734817612566,0.3601033694463772,0.14285714285714285,"[189.03351314, 204.33694186999998, 212.0309309, 222.94718884, 222.61838588999998, 225.41790815, 250.05934066, 257.10511816]","[206.2064215, 208.9307888, 213.23341025999997, 234.85925, 229.222628, 239.556435, 250.05934066, 264.89305089000004]","[186.16823028999997, 181.95015816, 199.27337644, 211.58939550999997, 217.01934136999998, 214.84924189999998, 227.06192289999998, 243.31418299999999]","['20221028', '20221104', '20221111', '20221118', '20221125', '20221202', '20221209', '20221216']",0.0120944168371819,1
000001.SZ,20190125,20190315,7,8.455777000000001,9.6088375,7.88693382,10.285299660000002,0,5,-0.06727272727272737,0.21636363636363637,0.1363636363636362,0.28363636363636374,0.1363636363636362,0.0,"[8.455777000000001, 8.609518399999999, 8.41734165, 8.87087878, 9.80870132, 9.4550961, 9.6088375]","[8.48652528, 8.647953750000001, 8.770946870000001, 8.93237534, 9.82407546, 10.285299660000002, 9.74720476]","[7.88693382, 8.27897439, 8.3789063, 8.48652528, 8.89393999, 9.41666075, 9.26291935]","['20190125', '20190201', '20190215', '20190222', '20190301', '20190308', '20190315']",0.2579392377069547,1
600900.SH,20180921,20190712,41,10.756854480000001,12.069150960000002,9.365024880000002,12.1950784,10,39,-0.1293900184842883,0.13370301910043117,0.12199630314232905,0.26309303758471947,0.12199630314232905,0.25,"[10.756854480000001, 10.85627088, 10.193494880000001, 10.49174408, 10.611043760000001, 10.34593336, 9.7096684, 9.703040640000001, 9.444558, 9.5108356, 9.5108356, 9.91512896, 10.193494880000001, 10.524882880000002, 10.15372832, 10.20012264, 10.438722, 10.54476616, 10.836387600000002, 10.8032488, 10.7369712, 10.78336552, 11.04184816, 10.789993280000001, 11.34672512, 11.181031120000002, 11.134636800000001, 11.18765888, 11.11475352, 10.97557056, 11.181031120000002, 10.955687280000001, 10.97557056, 11.267192000000001, 11.737762960000001, 11.61183552, 11.59858, 11.68474088, 11.8636904, 12.175195120000001, 12.069150960000002]","[10.756854480000001, 10.9026652, 10.756854480000001, 10.5712772, 10.743598960000002, 10.743598960000002, 10.319422320000001, 9.828968080000001, 9.76931824, 9.69641288, 9.80245704, 10.047684160000001, 10.2067504, 10.524882880000002, 10.471860800000002, 10.432094240000001, 10.46523304, 10.644182559999999, 10.935804000000001, 10.89603744, 10.85627088, 10.935804000000001, 11.25393648, 11.0352204, 11.35335288, 11.3997472, 11.359980640000002, 11.214169920000002, 11.25393648, 11.18765888, 11.18765888, 11.280447520000001, 11.0352204, 11.32684184, 11.843807120000001, 11.83717936, 12.1288008, 11.996245600000002, 11.92334024, 12.1950784, 12.148684079999999]","[10.35256112, 10.683949120000001, 10.15372832, 10.140472800000001, 10.273028, 10.173611600000001, 9.6433908, 9.53071888, 9.40479144, 9.431302480000001, 9.365024880000002, 9.418046960000002, 9.88199016, 9.94826776, 10.02117312, 10.047684160000001, 10.06756744, 10.4055832, 10.46523304, 10.71046016, 10.5712772, 10.644182559999999, 10.730343440000002, 10.59778824, 10.79662104, 10.9689428, 11.094870239999999, 10.88940968, 10.94905952, 10.96231504, 10.98219832, 10.849643120000001, 10.80987656, 10.85627088, 11.167775600000002, 11.58532448, 11.50579136, 11.572068960000001, 11.61183552, 11.764274, 11.770901760000001]","['20180921', '20180928', '20181012', '20181019', '20181026', '20181102', '20181109', '20181116', '20181123', '20181130', '20181207', '20181214', '20181221', '20181228', '20190104', '20190111', '20190118', '20190125', '20190201', '20190215', '20190222', '20190301', '20190308', '20190315', '20190322', '20190329', '20190404', '20190412', '20190419', '20190426', '20190430', '20190510', '20190517', '20190524', '20190531', '20190606', '20190614', '20190621', '20190628', '20190705', '20190712']",0.0763089875213554,1
300015.SZ,20160930,20171013,53,3.51519304,3.95622852,2.90486061,5.0628972,15,32,-0.17362700228832956,0.4402899477748169,0.1254655078629763,0.6139169500631464,0.1254655078629763,0.28846153846153844,"[3.51519304, 3.51720402, 3.43676482, 3.39051228, 3.4035836500000003, 3.31510053, 3.3452652300000003, 3.33923229, 3.3231444499999996, 3.29599622, 3.09892018, 3.06071156, 3.0064151, 3.1481891899999996, 2.99032726, 3.01445902, 3.08082136, 3.1361233100000003, 3.0707664599999998, 3.12606841, 3.15422213, 3.02250294, 3.03255784, 3.05266764, 3.1069641, 3.03959627, 3.19946918, 3.14919468, 3.1974582000000003, 3.3050456299999995, 3.17835389, 3.2738754400000003, 3.3453952, 3.3543560800000005, 3.1661776, 3.24533204, 3.4230561600000002, 3.3901996, 3.4738344800000003, 3.3752648000000005, 3.3453952, 3.3901996, 3.3603300000000003, 3.3573430400000004, 3.4260431200000006, 3.41409528, 3.35136912, 3.4947432, 3.6082476800000003, 3.53058672, 3.6739608000000006, 3.78298484, 3.95622852]","[3.6097091, 3.5785389100000002, 3.54736872, 3.4779899100000002, 3.44078678, 3.4086111, 3.3683915, 3.3482817, 3.37040248, 3.4991052, 3.3020291600000005, 3.1522111500000003, 3.0969092000000003, 3.15422213, 3.15623311, 3.03456882, 3.11199155, 3.14517272, 3.1361233100000003, 3.13913978, 3.2165625099999997, 3.21455153, 3.08283234, 3.11500802, 3.1069641, 3.16427703, 3.2980072, 3.28694681, 3.2738754400000003, 3.31510053, 3.3050456299999995, 3.27588642, 5.0628972, 3.41708224, 3.35883652, 3.31253864, 3.4663670800000004, 3.4364974800000003, 3.48876928, 3.4798084000000005, 3.3737713200000004, 3.39318656, 3.3901996, 3.45889968, 3.53058672, 3.5201323600000003, 3.435004, 3.50818452, 3.6082476800000003, 3.6142216, 3.7441543600000005, 3.8501914400000006, 4.0174612]","[3.5041326500000003, 3.4629075599999997, 3.42168247, 3.35431464, 3.36436954, 3.2557766200000002, 3.2839303399999995, 3.3130895500000004, 3.28594132, 3.2849358300000002, 3.02853588, 3.04160725, 2.99837118, 2.9913327499999998, 2.9863052999999997, 2.90486061, 3.0064151, 3.0838378300000002, 3.06071156, 3.02853588, 3.07478842, 3.0064151, 3.00239314, 2.99233824, 3.00440412, 3.01445902, 3.03456882, 3.13511782, 3.1321013499999997, 3.12807939, 3.12908488, 3.1321013499999997, 3.2692277200000004, 3.2841625199999998, 3.1661776, 3.1288406, 3.2259168000000003, 3.31851256, 3.3827322, 3.3573430400000004, 3.27520164, 3.1407884400000006, 3.26474728, 3.3453952, 3.3453952, 3.36630392, 3.3155256, 3.37078436, 3.45591272, 3.50669104, 3.5111714800000002, 3.66201296, 3.7381804400000003]","['20160930', '20161014', '20161021', '20161028', '20161104', '20161111', '20161118', '20161125', '20161202', '20161209', '20161216', '20161223', '20161230', '20170106', '20170113', '20170120', '20170126', '20170203', '20170210', '20170217', '20170224', '20170303', '20170310', '20170317', '20170324', '20170331', '20170407', '20170414', '20170421', '20170428', '20170505', '20170512', '20170519', '20170526', '20170602', '20170609', '20170616', '20170623', '20170630', '20170707', '20170714', '20170721', '20170728', '20170804', '20170811', '20170818', '20170825', '20170901', '20170908', '20170915', '20170922', '20170929', '20171013']",0.506228765571914,1
600036.SH,20200327,20201030,32,24.573668879999996,30.74721369,22.440746519999998,33.4427117,0,15,-0.08679706601466988,0.36091651040428613,0.25122601106685066,0.447713576418956,0.25122601106685066,0.0,"[24.573668879999996, 24.145582349999998, 24.1080309, 24.678812939999997, 24.415952789999995, 26.35360761, 26.26348413, 25.42233165, 25.25710527, 25.39980078, 26.46626196, 25.910500499999998, 25.42984194, 25.459883099999995, 27.59280546, 28.77000025, 27.866351919999996, 26.7232754, 26.877745199999996, 28.27569689, 29.349262, 29.171621730000002, 29.696819050000002, 28.422443199999996, 28.76227676, 30.11388751, 28.71593582, 27.804564, 27.943586819999997, 30.72404322, 31.836225779999996, 30.74721369]","[25.09938918, 24.768936419999996, 24.693833520000002, 24.9341628, 24.844039319999997, 27.074595449999997, 26.42120022, 26.646508919999995, 26.42120022, 26.0607063, 27.037043999999998, 27.179739509999997, 25.79033586, 25.50494484, 27.607826039999996, 33.4427117, 29.349262, 28.92447005, 27.30253715, 28.831788169999996, 29.967141199999997, 30.530955969999997, 29.696819050000002, 30.121610999999998, 29.31064455, 30.11388751, 30.22201637, 29.078939849999998, 28.422443199999996, 31.0484298, 32.5158929, 32.176059339999995]","[22.440746519999998, 23.815129589999998, 23.96533539, 23.897742779999998, 24.28076757, 24.573668879999996, 25.572537449999995, 25.3096773, 25.166981789999998, 24.708854099999996, 25.6100889, 25.3096773, 24.79897758, 24.866570189999997, 25.15196121, 28.615530449999994, 27.27164319, 26.36027137, 26.267589489999995, 26.86229822, 27.71960561, 28.677318370000002, 28.121227089999994, 28.07488615, 28.337484809999996, 28.630977429999998, 28.499678099999997, 27.650094199999995, 27.90496937, 28.036268699999997, 30.6622553, 30.569573419999998]","['20200327', '20200403', '20200410', '20200417', '20200424', '20200430', '20200508', '20200515', '20200522', '20200529', '20200605', '20200612', '20200619', '20200624', '20200703', '20200710', '20200717', '20200724', '20200731', '20200807', '20200814', '20200821', '20200828', '20200904', '20200911', '20200918', '20200925', '20200930', '20201009', '20201016', '20201023', '20201030']",0.3681549171943846,1
600196.SH,20161014,20170203,17,19.02798168,20.5035878,18.171967079999998,20.674790719999997,10,16,-0.04498714652956307,0.08654670094258769,0.07754927163667515,0.13153384747215077,0.07754927163667515,0.625,"[19.02798168, 18.94645648, 19.264404759999998, 19.981826520000002, 19.623115639999998, 19.468217759999998, 19.769861, 18.6692708, 18.93830396, 18.63666072, 18.34317, 18.86493128, 19.0361342, 19.37038752, 20.26716472, 20.31607984, 20.5035878]","[19.688335799999997, 19.10950688, 19.37854004, 20.413910079999997, 20.08780928, 19.769861, 19.835081159999998, 20.03074164, 19.10135436, 19.0361342, 18.7100334, 18.8730838, 19.50898036, 19.69648832, 20.3813, 20.51174032, 20.674790719999997]","[18.92199892, 18.67742332, 18.71818592, 19.13396444, 19.484522799999997, 19.38669256, 19.32962492, 18.449152759999997, 18.4654578, 18.40839016, 18.171967079999998, 18.220882200000002, 18.897541359999998, 18.96276152, 19.117659399999997, 20.1367244, 20.32423236]","['20161014', '20161021', '20161028', '20161104', '20161111', '20161118', '20161125', '20161202', '20161209', '20161216', '20161223', '20161230', '20170106', '20170113', '20170120', '20170126', '20170203']",0.23220675944334,1
600276.SH,20221111,20230217,14,38.67782272,43.559393920000005,35.43330368,45.354234240000004,6,13,-0.08388577256501785,0.1726160122386538,0.1262111167771546,0.25650178480367164,0.1262111167771546,0.46153846153846156,"[38.67782272, 39.71330752000001, 39.082154880000004, 39.940128, 38.28335232, 37.474688, 36.241968, 37.99736128, 38.766578560000006, 38.72713152000001, 42.93810304, 42.2083328, 42.99727360000001, 43.559393920000005]","[41.49828608, 41.00519808, 41.172848, 40.39376896, 40.314874880000005, 39.0032608, 37.71137024, 38.312937600000005, 39.31883712, 39.348422400000004, 44.25957888000001, 43.82566144, 43.352296960000004, 45.354234240000004]","[38.67782272, 38.72713152000001, 38.2636288, 38.076255360000005, 38.1650112, 37.18869696, 35.43330368, 36.17293568, 37.583167360000004, 37.21828224, 38.72713152000001, 41.39966848, 41.26160384000001, 42.71128256000001]","['20221111', '20221118', '20221125', '20221202', '20221209', '20221216', '20221223', '20221230', '20230106', '20230113', '20230120', '20230203', '20230210', '20230217']",0.0813525001405712,1
000799.SZ,20141031,20141212,7,9.63218502,10.995645,8.85515944,11.92660961,0,5,-0.08066971080669712,0.23820395738203962,0.14155251141552513,0.31887366818873675,0.14155251141552513,0.0,"[9.63218502, 9.47091556, 9.93273265, 9.70548932, 10.299254150000001, 10.76840167, 10.995645]","[9.8227762, 9.639515450000001, 10.37988888, 10.07934125, 10.94433199, 11.92660961, 11.18623618]","[8.85515944, 9.294985239999999, 9.4562547, 9.40494169, 9.59553287, 10.4092106, 10.22594985]","['20141031', '20141107', '20141114', '20141121', '20141128', '20141205', '20141212']",0.1753333333333332,1
000063.SZ,20130614,20130726,6,6.71458056,8.96431116,6.23579174,9.316192099999999,2,5,-0.07130584192439865,0.3874570446735393,0.3350515463917525,0.45876288659793796,0.3350515463917525,0.4,"[6.71458056, 6.87033114, 7.3548884999999995, 7.556787399999999, 7.897131259999999, 8.96431116]","[6.847256979999999, 7.42987952, 7.53948178, 7.9605852, 8.02980768, 9.316192099999999]","[6.39154232, 6.506913119999999, 6.23579174, 6.991470479999999, 7.181832299999999, 8.68742124]","['20130614', '20130621', '20130628', '20130705', '20130712', '20130726']",-0.0945945945945945,0
