name,ratio_10,ratio_20,ratio_30,trades,avg_return,median_return,expected_value,win_rate,loss_rate,avg_profit,avg_loss,reach_10,reach_20,reach_30
全仓30% (0/0/100),0.0,0.0,1.0,517,0.03885069912250445,-0.018463852630764856,0.03885069912250445,0.4816247582205029,0.5164410058027079,0.261255111071327,-0.16841464872818585,0.38684719535783363,0.344294003868472,0.33268858800773693
两段式 (0/50/50),0.0,0.5,0.5,517,0.0322829846618879,0.019495412844036757,0.0322829846618879,0.5203094777562862,0.47775628626692457,0.21955838962282806,-0.1715421203981567,0.4197292069632495,0.3520309477756286,0.09284332688588008
激进30% (20/20/60),0.2,0.2,0.6,517,0.03183733798862506,0.01634103019538188,0.03183733798862506,0.5222437137330754,0.47775628626692457,0.2067363394738599,-0.15934780533531587,0.40618955512572535,0.34235976789168276,0.05415860735009671
V7当前 (30/30/40),0.3,0.3,0.4,517,0.028330657421685335,0.03673469387755095,0.028330657421685335,0.5473887814313346,0.4526112185686654,0.183551222413172,-0.15939335921331776,0.42359767891682787,0.34235976789168276,0.0038684719535783366
两段式 (50/0/50),0.5,0.0,0.5,517,0.027885010748422485,0.034391534391534466,0.027885010748422485,0.5570599613152805,0.44294003868471954,0.17051990467862796,-0.15149861131227257,0.402321083172147,0.3346228239845261,0.005802707930367505
均匀分配 (33/33/34),0.33,0.33,0.34,517,0.02727865325160343,0.04630920464700646,0.02727865325160343,0.5531914893617021,0.44680851063829785,0.1780573455098775,-0.15939972763959304,0.4332688588007737,0.33849129593810445,0.0038684719535783366
重仓20% (25/50/25),0.25,0.5,0.25,517,0.026800140474846915,0.045409674234945546,0.026800140474846915,0.5415860735009671,0.4584139264990329,0.18560490668962615,-0.16081730484219184,0.4564796905222437,0.34235976789168276,0.0038684719535783366
重仓20% (20/60/20),0.2,0.6,0.2,517,0.026583166420131806,0.041066140177689864,0.026583166420131806,0.539651837524178,0.46034816247582205,0.18883473122052583,-0.16361929819881746,0.46034816247582205,0.3481624758220503,0.005802707930367505
重仓20% (30/50/20),0.3,0.5,0.2,517,0.02570357163743871,0.04975320829220123,0.02570357163743871,0.5473887814313346,0.4526112185686654,0.17875191728788753,-0.15939335921331776,0.4622823984526112,0.2978723404255319,0.0038684719535783366
重仓20% (20/70/10),0.2,0.7,0.1,517,0.025269623528008496,0.041066140177689864,0.025269623528008496,0.539651837524178,0.46034816247582205,0.1864006750369138,-0.16361929819881746,0.4622823984526112,0.30947775628626695,0.005802707930367505
保守10% (50/30/20),0.5,0.3,0.2,517,0.02394438207205255,0.06666666666666664,0.02394438207205255,0.574468085106383,0.425531914893617,0.15736962787008546,-0.15617969975529183,0.45454545454545453,0.14119922630560927,0.0038684719535783366
保守10% (60/30/10),0.6,0.3,0.1,517,0.02175124439723616,0.0733333333333333,0.02175124439723616,0.5880077369439072,0.4119922630560928,0.1458873185673988,-0.15541949056862972,0.46808510638297873,0.05609284332688588,0.0038684719535783366
